timestamp,overall_score,deep_sleep_in_minutes
2025-02-21T05:38:30Z,83,99
2025-02-22T08:24:00Z,76,63
2025-02-23T08:22:30Z,84,113
2025-02-24T05:38:30Z,74,65
2025-02-25T05:38:00Z,81,90
2025-02-26T05:28:30Z,81,81
2025-02-27T05:48:30Z,71,68
2025-02-28T07:40:00Z,82,108
2025-03-01T08:26:00Z,63,95
2025-03-02T07:33:30Z,87,91
2025-03-03T05:38:00Z,78,60
2025-03-04T05:39:30Z,77,99
2025-03-05T05:38:30Z,81,98
2025-03-06T05:27:30Z,75,86
2025-03-07T05:39:00Z,78,80
2025-03-08T08:01:30Z,88,114
2025-03-16T04:51:30Z,78,79
2025-03-16T09:39:30Z,66,31
2025-03-17T08:51:00Z,90,116
2025-03-18T06:24:00Z,67,79
2025-03-19T07:45:30Z,75,70
2025-03-20T08:29:00Z,79,126
2025-03-21T05:10:00Z,72,74
2025-03-22T08:14:00Z,84,83
2025-03-23T06:50:00Z,80,84
2025-03-24T05:38:00Z,78,70
2025-03-25T05:39:00Z,78,91
2025-03-26T05:40:00Z,73,83
2025-03-27T05:39:00Z,81,94
2025-03-28T05:53:30Z,78,75
2025-03-29T07:32:00Z,76,60
2025-03-30T07:31:30Z,86,116
2025-03-31T05:39:00Z,81,97
2025-04-01T05:41:30Z,79,84
2025-04-02T05:40:00Z,81,116
2025-04-03T05:38:30Z,75,58
2025-04-04T05:38:30Z,80,90
2025-04-05T09:48:00Z,91,119
2025-04-06T08:10:30Z,66,51
2025-04-08T05:28:00Z,76,91
2025-04-09T05:38:30Z,77,83
2025-04-10T05:29:00Z,82,88
2025-04-11T08:42:00Z,84,104
2025-04-12T08:44:30Z,80,66
2025-04-14T10:18:30Z,87,128
2025-04-15T09:01:00Z,81,67
2025-04-16T11:26:30Z,89,96
2025-04-17T09:18:00Z,75,106
2025-04-18T11:15:30Z,81,79
2025-04-19T09:01:00Z,79,77
2025-04-20T08:20:30Z,80,91
2025-04-21T05:38:30Z,74,68
2025-04-22T05:38:30Z,73,57
2025-04-23T05:37:00Z,78,56
2025-04-24T05:20:30Z,73,57
2025-04-25T05:22:30Z,77,75
2025-04-26T10:50:30Z,83,114
2025-04-27T10:05:30Z,89,99
2025-04-28T05:38:30Z,74,85
2025-04-29T07:44:00Z,79,100
2025-04-30T05:08:30Z,63,54
2025-05-01T09:00:30Z,89,79
2025-05-02T06:24:00Z,79,105
2025-05-03T08:50:30Z,86,133
2025-05-04T09:25:00Z,86,113
2025-05-05T05:29:30Z,80,84
2025-05-06T05:29:00Z,73,65
2025-05-07T07:09:30Z,76,101
2025-05-08T08:05:30Z,76,91
2025-05-09T07:28:00Z,79,120
2025-05-10T06:27:30Z,77,81
2025-05-11T10:16:30Z,86,133
2025-05-12T05:35:00Z,78,62
2025-05-13T05:33:00Z,70,76
2025-05-14T05:35:00Z,82,73
2025-05-15T05:34:30Z,77,113
2025-05-15T19:30:30Z,62,42
2025-05-16T05:34:30Z,70,75
2025-05-17T06:07:00Z,78,97
2025-05-18T06:26:00Z,65,32
2025-05-18T20:09:00Z,60,33
2025-05-19T05:29:00Z,76,68
2025-05-20T05:20:00Z,81,71
2025-05-21T05:29:30Z,76,50
2025-05-22T05:28:30Z,80,69
2025-05-23T05:29:30Z,73,83
2025-05-24T08:44:30Z,90,134
2025-05-25T08:59:30Z,85,99
2025-05-26T07:29:00Z,76,84
2025-05-27T05:29:00Z,70,78
2025-05-28T05:28:00Z,81,76
2025-05-29T07:35:00Z,83,65
2025-05-30T05:38:30Z,77,79
2025-05-31T09:11:30Z,79,73
2025-06-01T09:12:30Z,79,107
2025-06-02T07:29:00Z,81,94
2025-06-03T06:14:30Z,87,88
2025-06-04T05:29:30Z,75,76
2025-06-05T05:23:00Z,80,62
2025-06-06T05:28:30Z,72,83
2025-06-07T08:44:30Z,93,122
2025-06-08T07:18:00Z,78,82
2025-06-09T07:28:00Z,67,57
