DATE,UPDATED_AT,STRESS_SCORE,CALCULATION_FAILED
2025-03-14T00:00:00,2025-03-14T16:58:09.651,0,true
2025-03-15T00:00:00,2025-03-15T15:15:38.195,78,false
2025-03-16T00:00:00,2025-03-16T19:46:22.65,81,false
2025-03-17T00:00:00,2025-03-17T15:35:48.322,74,false
2025-03-18T00:00:00,2025-03-18T15:06:02.908,81,false
2025-03-19T00:00:00,2025-03-19T21:03:07.172,73,false
2025-03-20T00:00:00,2025-03-20T11:16:57.687,84,false
2025-03-21T00:00:00,2025-03-21T19:41:37.059,78,false
2025-03-22T00:00:00,2025-03-22T14:17:17.266,82,false
2025-03-23T00:00:00,2025-03-23T16:22:13.91,81,false
2025-03-24T00:00:00,2025-03-24T16:20:37.315,79,false
2025-03-25T00:00:00,2025-03-25T12:42:17.165,0,false
2025-03-26T00:00:00,2025-03-26T12:25:37.739,74,false
2025-03-27T00:00:00,2025-03-27T11:59:34.559,72,false
2025-03-28T00:00:00,2025-03-28T15:08:34.092,77,false
2025-03-29T00:00:00,2025-03-29T14:25:30.833,75,false
2025-03-30T00:00:00,2025-03-30T20:12:44.636,85,false
2025-03-31T00:00:00,2025-03-31T16:21:03.874,79,false
2025-04-02T00:00:00,2025-04-03T18:20:34.198,81,false
2025-04-01T00:00:00,2025-04-03T18:20:34.852,85,false
2025-04-03T00:00:00,2025-04-03T18:20:35.16,79,false
2025-04-04T00:00:00,2025-04-04T13:19:24.044,82,false
2025-04-05T00:00:00,2025-04-05T15:32:14.698,90,false
2025-04-07T00:00:00,2025-04-07T12:37:46.493,0,true
2025-04-08T00:00:00,2025-04-08T13:23:32.383,80,false
2025-04-09T00:00:00,2025-04-09T11:37:56.691,82,false
2025-04-10T00:00:00,2025-04-10T11:21:54.731,77,false
2025-04-11T00:00:00,2025-04-11T13:25:19.177,82,false
2025-04-12T00:00:00,2025-04-12T15:00:39.414,83,false
2025-04-13T00:00:00,2025-04-13T14:54:18.985,80,false
2025-04-14T00:00:00,2025-04-14T11:21:56.602,72,false
2025-04-15T00:00:00,2025-04-15T13:26:49.828,75,false
2025-04-16T00:00:00,2025-04-17T15:25:21.474,70,false
2025-04-17T00:00:00,2025-04-17T15:25:23.646,72,false
