timestamp,overall_score,deep_sleep_in_minutes
2025-02-25T05:39:00Z,75,80
2025-02-26T06:07:30Z,73,68
2025-02-27T07:31:30Z,78,44
2025-02-28T08:54:30Z,82,99
2025-03-02T09:03:30Z,80,76
2025-03-03T08:05:30Z,72,96
2025-03-09T07:55:30Z,67,65
2025-03-26T05:46:00Z,79,73
2025-03-27T06:30:30Z,77,42
2025-03-28T06:13:00Z,69,71
2025-03-30T12:08:30Z,83,70
2025-04-01T06:15:30Z,76,79
2025-04-04T06:50:30Z,68,40
2025-04-05T04:42:30Z,64,48
2025-04-06T09:21:30Z,77,70
2025-04-07T08:34:00Z,70,52
2025-04-08T06:23:30Z,64,33
2025-04-09T06:52:00Z,71,85
2025-04-12T08:05:30Z,75,68
2025-04-16T06:59:00Z,70,35
2025-05-06T05:37:30Z,72,59
2025-05-08T07:12:00Z,72,87
2025-05-26T08:59:30Z,81,100
2025-05-27T09:21:00Z,83,89
2025-05-28T10:34:00Z,77,98
2025-06-01T11:26:30Z,85,69
