timestamp,overall_score,deep_sleep_in_minutes
2025-03-14T07:02:30Z,84,54
2025-03-15T07:05:30Z,61,49
2025-03-16T07:59:30Z,74,41
2025-03-18T07:02:30Z,75,46
2025-03-19T07:01:30Z,63,66
2025-03-20T07:30:30Z,84,79
2025-03-21T07:25:00Z,88,109
2025-03-22T07:15:30Z,81,79
2025-03-23T06:59:00Z,81,87
2025-03-24T07:20:30Z,73,63
2025-03-25T07:27:00Z,82,70
2025-03-26T05:44:30Z,74,65
2025-03-27T07:25:30Z,69,47
2025-03-28T07:38:30Z,69,87
2025-03-29T08:51:30Z,78,87
2025-03-30T09:05:00Z,84,95
2025-03-31T07:07:00Z,65,48
2025-04-01T07:41:00Z,76,38
2025-04-03T07:34:30Z,82,79
2025-04-04T07:17:30Z,80,49
2025-04-05T07:11:30Z,80,70
2025-04-06T09:00:30Z,79,95
2025-04-07T06:04:00Z,70,57
2025-04-08T06:08:00Z,79,44
2025-04-09T06:05:30Z,77,70
2025-04-11T07:06:30Z,76,62
2025-04-12T07:08:00Z,67,91
2025-04-13T08:59:30Z,69,70
2025-04-14T11:13:00Z,82,86
2025-04-15T07:28:30Z,59,23
2025-04-16T07:41:30Z,83,100
2025-04-17T09:50:30Z,87,96
2025-04-18T09:27:30Z,79,46
2025-04-19T10:54:30Z,85,77
2025-04-20T08:46:00Z,80,61
2025-04-21T07:19:00Z,82,88
2025-04-22T07:07:00Z,69,63
2025-04-23T07:17:00Z,71,50
2025-04-24T08:01:30Z,84,113
2025-04-25T07:50:30Z,82,84
2025-04-26T08:45:30Z,82,35
2025-04-27T10:21:00Z,76,70
2025-04-28T06:07:30Z,65,52
2025-04-29T07:24:00Z,77,56
2025-04-30T06:00:30Z,78,55
2025-04-30T18:05:30Z,58,29
2025-05-03T07:14:00Z,84,95
2025-05-04T06:44:00Z,82,81
2025-05-05T05:57:30Z,64,84
2025-05-06T07:05:00Z,67,58
2025-05-07T07:15:30Z,77,52
2025-05-08T07:12:00Z,74,64
2025-05-09T06:05:30Z,78,71
2025-05-10T06:56:30Z,86,87
2025-05-11T07:55:30Z,83,111
2025-05-12T08:49:30Z,64,39
2025-05-13T08:51:00Z,80,90
2025-05-14T04:50:00Z,61,25
2025-05-15T03:44:30Z,70,44
2025-05-16T07:36:30Z,81,61
2025-05-17T05:11:00Z,70,69
2025-05-18T08:30:00Z,82,56
2025-05-19T07:16:30Z,83,79
2025-05-20T07:57:30Z,80,67
2025-05-21T09:57:30Z,85,104
2025-05-22T08:46:00Z,84,71
2025-05-23T09:07:00Z,78,79
2025-05-24T07:02:30Z,71,65
2025-05-25T09:19:30Z,87,112
2025-05-26T09:58:00Z,85,108
2025-05-27T06:59:30Z,77,49
2025-05-28T05:51:00Z,80,88
2025-05-29T07:37:00Z,83,106
2025-05-30T06:45:00Z,78,47
2025-05-31T08:49:30Z,79,122
2025-06-01T09:39:30Z,86,90
2025-06-02T05:39:00Z,58,59
2025-06-03T09:18:30Z,82,56
2025-06-04T08:22:30Z,81,58
2025-06-05T08:00:00Z,77,98
2025-06-06T07:47:00Z,80,93
2025-06-07T07:21:00Z,78,79
2025-06-08T09:15:00Z,85,95
2025-06-10T07:01:00Z,71,44
2025-06-11T06:08:00Z,68,65
2025-06-12T09:03:30Z,87,74
2025-06-14T08:26:30Z,79,71
2025-06-15T09:40:00Z,88,119
2025-06-16T05:57:30Z,73,74
2025-06-17T07:10:30Z,79,93
2025-06-18T06:07:30Z,75,41
2025-06-19T08:42:00Z,83,52
2025-06-20T07:28:30Z,74,56
2025-06-21T08:20:30Z,88,70
2025-06-22T09:19:30Z,85,80
2025-06-23T06:12:30Z,65,41
2025-06-24T06:27:30Z,69,43
2025-06-25T11:06:00Z,84,95
2025-06-26T07:21:30Z,79,77
2025-06-27T07:02:00Z,75,47
2025-06-28T08:12:30Z,82,92
2025-06-29T08:40:30Z,74,45
2025-07-01T07:43:30Z,77,67
