timestamp,rmssd,coverage,low_frequency,high_frequency
2025-04-07T23:40:00,64.126,0.852,4021.158,706.922
2025-04-08T00:00:00,53.83,0.807,508.718,930.956
2025-04-08T00:05:00,62.443,0.88,939.361,705.034
2025-04-08T00:10:00,69.964,0.911,1074.436,796.316
2025-04-08T00:15:00,66.861,0.936,1072.674,730.78
2025-04-08T00:20:00,65.334,0.959,895.305,773.658
2025-04-08T00:25:00,64.507,0.977,1600.015,689.971
2025-04-08T00:30:00,65.621,0.976,429.418,681.132
2025-04-08T00:35:00,65.516,0.959,819.258,635.298
2025-04-08T00:40:00,62.395,1.001,429.459,585.13
2025-04-08T00:45:00,61.405,1.005,299.88,648.803
2025-04-08T00:55:00,64.71,1,1139.444,720.775
2025-04-08T01:00:00,67.846,1.002,858.115,777.201
2025-04-08T01:05:00,69.62,1.004,3484.023,866.179
2025-04-08T01:15:00,72.721,0.852,597.517,564.279
2025-04-08T01:20:00,65.042,0.92,1052.74,705.188
2025-04-08T01:25:00,67.856,0.989,414.875,539.952
2025-04-08T01:30:00,65.047,0.846,591.308,594.311
2025-04-08T01:35:00,61.064,0.881,915.172,1112.804
2025-04-08T01:40:00,65.436,0.848,664.396,686.67
2025-04-08T01:50:00,66.613,0.835,3184.79,659.739
2025-04-08T01:55:00,70.049,0.994,2170.394,715.047
2025-04-08T02:15:00,71.904,0.794,1774.169,1088.209
2025-04-08T02:20:00,67.131,0.911,1574.247,539.762
2025-04-08T02:30:00,57.041,0.97,1137.553,571.492
2025-04-08T02:35:00,40.903,0.989,610.436,325.251
2025-04-08T02:40:00,33.587,0.936,656.009,173.557
2025-04-08T02:45:00,54.355,0.92,2518.161,440.963
2025-04-08T02:50:00,45.513,0.922,1118.511,295.935
2025-04-08T02:55:00,43.761,0.93,2110.465,429.183
2025-04-08T03:00:00,48.792,0.931,1249.203,308.606
2025-04-08T03:05:00,49.889,0.87,1262.041,398.311
2025-04-08T03:10:00,50.437,0.953,650.435,387.391
2025-04-08T03:15:00,54.526,0.953,1230.902,354.366
2025-04-08T03:20:00,75.754,0.856,3340.34,938.053
2025-04-08T03:25:00,79.81,0.998,2730.835,896.26
2025-04-08T03:30:00,71.931,1.003,1372.77,736.121
2025-04-08T03:35:00,77.303,0.983,472.515,761.829
2025-04-08T03:40:00,77.306,0.985,616.397,773.985
2025-04-08T03:45:00,74.632,0.999,712.294,681.378
2025-04-08T03:50:00,73.295,0.97,1180.327,735.264
2025-04-08T03:55:00,69.87,1.003,524.095,661.307
2025-04-08T04:00:00,65.285,0.99,1000.47,693.153
2025-04-08T04:05:00,64.234,0.761,731.175,579.82
2025-04-08T04:10:00,73.363,0.747,3968.794,696.524
2025-04-08T04:15:00,79.868,1.006,3214.66,1083.431
2025-04-08T04:20:00,63.866,0.766,1726.361,369.813
2025-04-09T00:35:00,63.935,0.927,3056.468,673.039
2025-04-09T00:40:00,72.731,0.839,1842.439,740.165
2025-04-09T00:45:00,79.149,0.946,2607.912,1957.685
2025-04-09T00:50:00,64.999,0.933,1957.708,1196.121
2025-04-09T00:55:00,59.646,0.876,2136.322,1055.011
2025-04-09T01:10:00,64.921,0.799,2787.906,897.578
