timestamp,overall_score,deep_sleep_in_minutes
2025-02-26T11:14:30Z,83,104
2025-02-27T11:28:30Z,88,118
2025-02-28T11:34:00Z,78,100
2025-03-01T09:49:30Z,71,64
2025-03-02T12:22:30Z,88,131
2025-03-03T09:04:30Z,69,82
2025-03-04T08:29:30Z,73,105
2025-03-05T08:37:30Z,75,98
2025-03-06T11:24:30Z,80,89
2025-03-07T10:49:00Z,82,123
2025-03-08T10:00:00Z,74,98
2025-03-09T09:50:30Z,76,97
2025-03-10T10:54:30Z,85,104
2025-03-11T10:33:00Z,79,84
2025-03-12T11:07:00Z,78,83
2025-03-13T11:13:00Z,87,125
2025-03-14T10:14:30Z,78,99
2025-03-15T12:17:30Z,79,108
2025-03-16T13:12:00Z,90,122
2025-03-17T12:01:30Z,78,95
2025-03-18T08:32:30Z,67,57
2025-03-19T08:57:30Z,67,71
2025-03-20T09:31:30Z,83,116
2025-03-22T11:56:30Z,86,99
2025-03-23T13:00:30Z,86,91
2025-03-24T10:56:30Z,82,94
2025-03-25T11:53:30Z,86,138
2025-03-26T08:33:30Z,62,65
2025-03-27T09:53:00Z,81,64
2025-03-28T09:55:30Z,70,79
2025-03-29T11:08:30Z,75,101
2025-03-30T11:08:00Z,85,112
2025-03-31T13:28:00Z,90,92
2025-04-01T10:02:30Z,75,103
2025-04-02T08:31:00Z,72,98
2025-04-03T12:17:30Z,83,122
2025-04-04T11:07:00Z,79,121
2025-04-05T12:50:00Z,79,89
2025-04-07T10:27:00Z,76,68
2025-04-09T12:35:30Z,88,138
2025-04-10T11:06:30Z,81,98
2025-04-11T15:12:00Z,72,82
2025-04-12T09:57:00Z,84,89
2025-04-24T12:25:00Z,81,104
2025-04-25T11:00:30Z,75,109
2025-05-02T09:47:30Z,72,71
2025-05-06T06:14:00Z,66,61
2025-05-07T12:46:30Z,87,122
2025-05-08T11:31:00Z,74,88
