timestamp,overall_score,deep_sleep_in_minutes
2025-02-21T05:13:30Z,75,57
2025-02-22T07:58:30Z,93,127
2025-02-23T04:18:30Z,78,54
2025-02-24T05:15:00Z,80,106
2025-02-25T05:10:00Z,80,85
2025-02-26T05:14:30Z,81,74
2025-02-27T07:17:00Z,82,108
2025-02-28T07:43:30Z,83,96
2025-03-01T08:02:30Z,82,95
2025-03-02T09:26:30Z,88,99
2025-03-03T05:17:30Z,81,79
2025-03-04T05:13:30Z,69,55
2025-03-05T05:14:00Z,82,75
2025-03-06T05:12:30Z,80,89
2025-03-07T05:24:00Z,67,58
2025-03-09T08:38:30Z,90,72
2025-03-10T05:14:00Z,74,65
2025-03-12T05:18:00Z,84,98
2025-03-13T05:14:00Z,83,79
2025-03-15T10:11:30Z,70,60
2025-03-27T05:13:00Z,76,68
2025-03-28T05:14:30Z,75,72
2025-03-29T08:55:30Z,83,104
2025-03-30T06:29:00Z,81,78
2025-03-31T05:13:30Z,78,65
2025-04-01T05:13:00Z,73,37
2025-04-02T05:13:00Z,80,75
2025-04-03T05:14:00Z,76,96
2025-04-04T06:46:00Z,76,76
2025-04-06T08:11:00Z,90,105
2025-04-28T05:14:00Z,73,73
2025-05-01T06:44:00Z,85,72
2025-05-02T05:13:30Z,82,52
2025-05-03T07:41:00Z,81,74
2025-05-05T08:07:00Z,90,88
2025-05-06T07:29:00Z,77,49
2025-05-07T07:55:00Z,83,63
2025-05-08T07:27:30Z,83,78
2025-05-10T08:22:00Z,88,95
2025-05-12T05:13:30Z,73,77
2025-05-13T05:14:00Z,77,74
2025-06-05T05:14:00Z,82,98
2025-06-06T05:11:30Z,56,65
2025-06-07T07:58:30Z,76,59
