timestamp,overall_score,deep_sleep_in_minutes
2025-05-16T08:05:00Z,69,77
2025-05-17T07:01:30Z,81,96
2025-05-17T21:04:00Z,52,27
2025-05-18T08:25:30Z,86,110
2025-05-19T09:13:30Z,69,50
2025-05-20T07:57:30Z,78,131
2025-05-21T07:27:00Z,82,134
2025-05-22T07:15:00Z,63,70
2025-05-24T07:57:00Z,82,104
2025-05-25T12:22:30Z,86,177
2025-05-26T05:32:00Z,72,70
2025-05-27T06:08:00Z,71,45
2025-05-28T09:36:00Z,86,85
2025-05-29T07:12:00Z,72,78
2025-05-30T10:16:00Z,72,98
2025-06-01T12:03:30Z,87,123
2025-06-02T05:54:00Z,69,59
2025-06-03T07:21:30Z,82,93
2025-06-04T09:51:30Z,85,155
2025-06-05T07:52:30Z,81,99
2025-06-06T08:00:00Z,79,109
2025-06-07T09:08:00Z,85,105
2025-06-08T11:26:30Z,71,99
2025-06-09T05:23:00Z,67,72
2025-06-10T07:43:00Z,82,81
2025-06-11T10:40:30Z,83,132
2025-06-12T07:39:30Z,81,93
2025-06-13T09:49:30Z,80,112
2025-06-14T10:58:30Z,68,118
2025-06-15T07:03:00Z,81,87
2025-06-16T08:23:30Z,76,60
2025-06-17T08:20:30Z,87,117
2025-06-18T09:29:00Z,77,121
2025-06-19T08:57:00Z,80,88
2025-06-20T07:21:30Z,72,87
2025-06-21T09:32:00Z,82,72
2025-06-22T12:32:30Z,79,88
2025-06-23T07:17:00Z,63,49
2025-06-24T07:14:30Z,77,85
2025-06-25T09:05:30Z,78,112
2025-06-28T08:37:30Z,87,126
2025-06-29T10:17:00Z,87,113
2025-06-30T08:50:30Z,76,86
