timestamp,rmssd,coverage,low_frequency,high_frequency
2025-03-14T01:00:00,70.828,0.762,1486.996,1423.157
2025-03-14T01:05:00,86.847,0.934,837.134,2238.865
2025-03-14T01:10:00,83.146,1.002,646.39,2020.563
2025-03-14T01:15:00,81.513,0.956,798.701,2094.276
2025-03-14T01:20:00,69.498,0.998,411.546,1055.175
2025-03-14T01:25:00,65.419,1.005,248.693,1095.686
2025-03-14T01:30:00,65.239,1.004,731.337,1125.312
2025-03-14T01:35:00,67.348,0.998,270.706,1199.935
2025-03-14T01:40:00,69.329,1.002,167.719,1286.81
2025-03-14T01:45:00,75.548,0.929,1777.552,2209.1
2025-03-14T01:50:00,51.914,0.989,744.844,593.972
2025-03-14T01:55:00,49.022,1,832.82,530.105
2025-03-14T02:00:00,42.113,0.998,561.402,665.367
2025-03-14T02:05:00,55.487,0.936,1382.225,1063.935
2025-03-14T02:10:00,61.593,1.002,524.638,1112.214
2025-03-14T02:15:00,76.115,1.002,745.872,1368.24
2025-03-14T02:20:00,79.6,1.004,1271.285,1544.613
2025-03-14T02:25:00,83.436,0.876,1602.182,1751.289
2025-03-14T02:30:00,79.59,1.005,817.647,1626.759
2025-03-14T02:35:00,80.173,1.003,404.416,1446.817
2025-03-14T02:40:00,81.843,0.997,199.065,1611.636
2025-03-14T02:45:00,83.831,0.955,2038.086,1585.979
2025-03-14T02:50:00,69.851,0.945,879.85,1101.703
2025-03-14T02:55:00,69.618,0.998,358.827,1076.068
2025-03-14T03:00:00,71.108,0.953,370.107,1302.268
2025-03-14T03:05:00,63.521,1.005,1088.954,1127.647
2025-03-14T03:10:00,43.265,0.924,522.565,310.821
2025-03-14T03:15:00,63.255,0.989,1377.889,1027.6
2025-03-14T03:20:00,54.225,0.968,896.509,690.894
2025-03-14T03:25:00,73.422,0.992,1138.369,1393.759
2025-03-14T03:30:00,91.054,0.943,1941.983,1824.635
2025-03-14T03:35:00,101.948,0.923,2858.183,2576.626
2025-03-14T03:40:00,90.95,0.955,2273.255,1716.636
2025-03-14T03:45:00,91.482,1.003,279.919,2064.471
2025-03-14T03:50:00,79.706,0.955,3171.825,1565.952
2025-03-14T03:55:00,85.008,0.995,328.308,1518.541
2025-03-14T04:00:00,84.499,1.003,201.061,1773.625
2025-03-14T04:05:00,82.722,1.002,429.751,1713.276
2025-03-14T04:10:00,86.957,1.002,327.666,1861.706
2025-03-14T04:15:00,84.043,1.004,417.598,1819.82
2025-03-14T04:20:00,82.59,0.947,283.788,1988.476
2025-03-14T04:25:00,77.297,0.92,1458.224,2110.801
2025-03-14T04:30:00,56.342,0.971,925.063,659.125
2025-03-14T04:35:00,52.455,0.888,1915.354,630.912
2025-03-14T04:40:00,44.956,0.941,1814.856,324.211
2025-03-14T04:45:00,41.842,1.004,559.43,302.607
2025-03-14T04:50:00,53.066,0.98,580.68,605.799
2025-03-14T04:55:00,43.543,0.996,827.567,501.854
2025-03-14T05:00:00,79.413,0.823,3236.982,1208.248
2025-03-14T05:05:00,81.362,0.939,717.598,1875.479
2025-03-14T05:10:00,76.604,0.953,1497.846,1545.472
2025-03-14T05:15:00,88.101,0.967,1584.777,2389.833
2025-03-14T05:20:00,88.536,0.953,755.957,2190.876
2025-03-14T05:25:00,76.991,0.904,1583.87,1108.555
2025-03-14T05:30:00,78.356,0.954,371.643,1562.773
