timestamp,overall_score,deep_sleep_in_minutes
2025-03-14T06:45:30Z,78,68
2025-03-16T07:52:30Z,77,94
2025-03-17T06:59:30Z,66,77
2025-03-18T07:06:30Z,58,72
2025-03-21T07:50:00Z,76,72
2025-03-25T06:45:30Z,79,91
2025-03-26T06:06:30Z,64,68
2025-03-27T06:57:00Z,81,92
2025-03-28T07:18:30Z,69,70
2025-03-29T06:59:30Z,73,90
2025-03-30T05:58:30Z,67,46
2025-03-31T06:18:30Z,77,81
2025-04-01T08:08:30Z,85,80
2025-04-02T05:36:30Z,68,48
2025-04-03T07:25:00Z,79,67
2025-04-04T07:35:00Z,72,55
2025-04-05T07:19:30Z,77,66
2025-04-06T07:56:30Z,73,79
2025-04-07T06:05:31.442Z,77,46
2025-04-08T08:07:30Z,75,82
2025-04-09T06:06:00Z,73,50
2025-04-10T07:14:00Z,81,86
2025-04-11T06:59:41.713Z,81,62
2025-04-12T07:33:30Z,79,57
2025-04-13T08:12:00Z,79,64
2025-04-14T07:45:30Z,79,66
2025-04-15T06:29:32.632Z,77,64
2025-04-16T06:00:30Z,76,58
2025-04-17T08:14:30Z,85,86
2025-04-18T07:06:30Z,73,46
2025-04-19T08:16:00Z,82,86
2025-04-22T07:14:30Z,75,89
2025-04-23T07:26:30Z,80,106
2025-04-24T06:59:30Z,76,65
2025-04-25T07:36:30Z,78,79
2025-04-26T07:33:30Z,76,74
2025-04-27T06:54:30Z,74,65
2025-04-28T05:48:18.223Z,73,46
2025-04-29T06:51:30Z,74,69
2025-04-30T06:07:30Z,73,86
2025-05-01T07:33:00Z,81,75
2025-05-02T08:20:01.774Z,77,71
2025-05-03T07:46:00Z,80,78
2025-05-04T07:22:00Z,81,96
2025-05-05T07:37:00Z,82,81
2025-05-06T06:10:30Z,75,89
2025-05-07T05:59:30Z,75,74
2025-05-08T07:02:30Z,79,81
2025-05-10T06:57:00Z,78,83
2025-05-11T07:34:30Z,73,109
2025-05-12T06:00:00Z,76,58
2025-05-13T06:33:00Z,80,73
2025-05-14T05:59:00Z,69,52
2025-05-15T07:11:00Z,82,90
2025-05-16T07:04:00Z,72,74
2025-05-17T07:16:00Z,79,86
2025-05-18T07:13:30Z,82,82
2025-05-19T05:59:00Z,74,68
2025-05-21T06:06:00Z,71,47
2025-05-22T06:37:00Z,80,62
2025-05-22T20:13:00Z,68,49
2025-05-23T07:40:30Z,76,64
2025-05-24T07:56:30Z,85,94
2025-05-25T07:33:30Z,77,84
2025-05-26T06:12:30Z,76,74
2025-05-27T06:46:00Z,82,80
2025-05-28T06:00:00Z,69,77
2025-05-29T07:01:00Z,82,111
2025-05-30T07:46:00Z,85,87
2025-05-31T06:58:30Z,78,87
2025-06-01T08:11:00Z,87,136
2025-06-02T07:32:00Z,82,84
2025-06-04T06:31:30Z,79,86
2025-06-05T06:11:30Z,76,86
2025-06-06T07:01:00Z,81,95
2025-06-07T07:36:30Z,86,112
2025-06-08T07:05:00Z,79,72
2025-06-09T06:01:00Z,70,87
2025-06-10T06:59:00Z,80,73
2025-06-11T05:59:00Z,74,76
2025-06-12T06:57:30Z,77,86
2025-06-13T07:19:00Z,74,52
2025-06-14T07:04:30Z,74,73
2025-06-15T09:07:00Z,77,82
2025-06-16T06:05:00Z,62,60
2025-06-17T06:50:00Z,77,78
2025-06-19T07:10:30Z,80,95
2025-06-20T07:32:30Z,87,89
2025-06-21T07:05:00Z,82,98
2025-06-22T08:14:00Z,80,63
2025-06-23T05:38:00Z,71,55
2025-06-24T06:44:30Z,73,87
2025-06-25T06:00:30Z,75,55
2025-06-26T08:44:30Z,80,93
2025-06-27T07:27:00Z,73,99
2025-06-29T07:15:30Z,76,77
2025-06-30T07:11:30Z,73,81
