DATE,UPDATED_AT,STRESS_SCORE,CALCULATION_FAILED
2025-02-21T00:00:00,2025-02-21T11:48:15.777,0,true
2025-02-22T00:00:00,2025-02-22T14:52:33.857,84,false
2025-02-24T00:00:00,2025-02-25T01:20:24.594,78,false
2025-02-25T00:00:00,2025-02-25T13:11:44.914,76,false
2025-03-07T00:00:00,2025-03-07T16:58:36.768,0,true
2025-03-10T00:00:00,2025-03-10T18:00:57.328,0,true
2025-03-11T00:00:00,2025-03-11T19:23:54.476,80,false
2025-03-12T00:00:00,2025-03-12T20:32:56.475,81,false
2025-03-13T00:00:00,2025-03-13T12:14:06.076,82,false
2025-03-14T00:00:00,2025-03-14T14:24:33.917,88,false
2025-03-17T00:00:00,2025-03-20T12:42:00.362,0,true
2025-03-27T00:00:00,2025-03-27T12:04:51.395,0,true
2025-03-28T00:00:00,2025-03-28T11:51:56.778,78,false
2025-03-31T00:00:00,2025-03-31T11:57:12.913,0,true
2025-04-01T00:00:00,2025-04-01T11:57:16.169,80,false
2025-04-04T00:00:00,2025-04-04T11:57:13.263,81,false
2025-04-07T00:00:00,2025-04-07T11:57:13.766,0,true
2025-04-09T00:00:00,2025-04-09T13:58:30.312,81,false
2025-04-11T00:00:00,2025-04-11T11:57:13.626,0,true
2025-04-21T00:00:00,2025-04-21T16:03:21.301,0,true
2025-04-28T00:00:00,2025-04-28T11:56:43.192,0,true
2025-05-01T00:00:00,2025-05-01T18:46:04.123,0,true
2025-05-02T00:00:00,2025-05-02T23:37:20.362,69,false
2025-05-03T00:00:00,2025-05-03T17:26:59.32,72,false
2025-05-05T00:00:00,2025-05-05T15:30:23.039,0,true
2025-05-06T00:00:00,2025-05-06T13:33:49.742,72,false
2025-05-08T00:00:00,2025-05-08T19:07:22.272,73,false
2025-05-09T00:00:00,2025-05-09T07:47:08.16,70,false
2025-05-10T00:00:00,2025-05-10T16:54:25.524,0,true
2025-05-16T00:00:00,2025-05-16T12:42:05.677,0,true
2025-05-19T00:00:00,2025-05-20T01:56:00.302,0,true
2025-05-20T00:00:00,2025-05-20T11:59:21.742,73,false
2025-05-21T00:00:00,2025-05-21T11:58:51.655,72,false
2025-05-24T00:00:00,2025-05-24T19:47:35.745,0,true
2025-05-23T00:00:00,2025-05-27T11:02:39.005,71,false
2025-05-29T00:00:00,2025-05-29T13:52:14.559,75,false
2025-06-01T00:00:00,2025-06-01T16:13:20.447,0,true
2025-06-03T00:00:00,2025-06-03T11:58:17.407,68,false
