DATE,UPDATED_AT,STRESS_SCORE,CALCULATION_FAILED
2025-03-15T00:00:00,2025-03-15T14:30:05.756,0,true
2025-03-16T00:00:00,2025-03-17T20:40:41.708,70,false
2025-03-17T00:00:00,2025-03-17T20:40:42.226,75,false
2025-03-20T00:00:00,2025-03-20T17:27:16.464,0,true
2025-03-18T00:00:00,2025-03-20T17:27:17.293,0,true
2025-03-19T00:00:00,2025-03-20T17:27:17.367,62,false
2025-03-21T00:00:00,2025-03-21T17:51:22.508,0,true
2025-03-24T00:00:00,2025-03-24T12:16:49.736,0,true
2025-03-25T00:00:00,2025-03-25T20:17:02.535,0,true
2025-03-26T00:00:00,2025-03-27T14:47:35.469,0,true
2025-03-27T00:00:00,2025-03-27T14:47:39.748,0,true
2025-03-28T00:00:00,2025-03-28T13:18:01.848,74,false
2025-03-31T00:00:00,2025-03-31T15:12:33.195,0,true
2025-04-01T00:00:00,2025-04-01T15:43:25.549,80,false
2025-04-03T00:00:00,2025-04-03T17:54:20.307,0,true
2025-04-04T00:00:00,2025-04-04T17:48:07.448,0,true
2025-04-09T00:00:00,2025-04-09T15:18:24.995,0,true
2025-04-16T00:00:00,2025-04-21T06:44:48.517,0,true
2025-04-14T00:00:00,2025-04-21T06:44:49.357,0,true
2025-04-15T00:00:00,2025-04-21T06:44:49.615,71,false
2025-04-17T00:00:00,2025-04-21T06:44:50.344,61,false
2025-04-20T00:00:00,2025-04-21T06:44:52.911,0,true
2025-04-21T00:00:00,2025-04-21T18:23:29.501,0,true
2025-05-12T00:00:00,2025-05-13T00:23:07.301,0,true
2025-05-06T00:00:00,2025-05-13T00:23:08.66,0,true
2025-05-07T00:00:00,2025-05-13T00:23:08.327,76,false
2025-05-09T00:00:00,2025-05-13T00:23:09.005,68,false
2025-05-10T00:00:00,2025-05-13T00:23:09.536,78,false
2025-05-08T00:00:00,2025-05-13T00:23:09.765,72,false
2025-05-13T00:00:00,2025-05-13T23:24:36.829,70,false
2025-05-14T00:00:00,2025-05-14T22:55:27.919,64,false
2025-05-15T00:00:00,2025-05-15T15:26:38.073,65,false
2025-05-16T00:00:00,2025-05-16T15:15:13.868,65,false
2025-05-17T00:00:00,2025-05-17T13:57:52.519,68,false
2025-05-18T00:00:00,2025-05-18T16:02:54.709,70,false
2025-05-21T00:00:00,2025-05-21T12:25:06.506,67,false
2025-05-28T00:00:00,2025-05-29T15:42:47.066,75,false
2025-05-29T00:00:00,2025-05-29T22:03:20.454,76,false
2025-05-30T00:00:00,2025-05-30T11:49:43.302,73,false
2025-05-31T00:00:00,2025-05-31T16:44:19.425,69,false
2025-06-02T00:00:00,2025-06-02T14:54:14.503,0,true
2025-06-03T00:00:00,2025-06-03T11:41:42.08,0,true
2025-06-04T00:00:00,2025-06-04T23:29:07.776,0,true
2025-06-05T00:00:00,2025-06-05T16:01:16.44,0,true
2025-06-06T00:00:00,2025-06-06T13:47:22.706,0,true
2025-06-07T00:00:00,2025-06-07T16:17:51.438,77,false
2025-06-08T00:00:00,2025-06-08T13:20:44.767,71,false
2025-06-09T00:00:00,2025-06-10T06:09:45.055,80,false
2025-06-10T00:00:00,2025-06-10T13:24:23.431,74,false
2025-06-24T00:00:00,2025-06-30T21:28:33.414,0,true
2025-06-26T00:00:00,2025-06-30T21:28:34.76,0,true
2025-06-25T00:00:00,2025-06-30T21:28:34.534,0,true
2025-06-27T00:00:00,2025-06-30T21:28:35.184,0,true
2025-06-30T00:00:00,2025-06-30T21:28:35.372,68,false
2025-06-29T00:00:00,2025-06-30T21:28:35.421,65,false
2025-06-28T00:00:00,2025-06-30T21:28:36.566,71,false
