timestamp,overall_score,deep_sleep_in_minutes
2025-03-15T11:02:00Z,90,122
2025-03-17T12:00:30Z,86,78
2025-03-18T07:11:00Z,68,56
2025-03-19T05:37:30Z,75,62
2025-03-21T08:41:30Z,82,90
2025-03-22T07:46:30Z,82,94
2025-03-23T10:08:30Z,79,127
2025-03-25T08:16:30Z,71,61
2025-03-26T06:14:30Z,67,91
2025-03-29T09:58:00Z,81,96
2025-03-30T09:53:00Z,85,107
2025-03-31T05:49:00Z,75,52
2025-04-01T07:52:00Z,66,88
2025-04-04T08:20:30Z,78,75
2025-04-05T10:18:30Z,89,108
2025-04-06T09:51:00Z,80,92
2025-04-07T05:29:00Z,78,82
2025-04-08T08:46:00Z,85,105
2025-04-09T05:32:30Z,81,79
2025-04-10T05:50:30Z,70,61
2025-04-11T08:26:30Z,88,89
2025-04-12T08:57:00Z,81,117
2025-04-13T10:50:30Z,81,93
2025-04-14T05:38:00Z,67,58
2025-04-15T05:46:00Z,77,87
2025-04-16T10:09:00Z,78,83
2025-04-17T11:02:30Z,82,110
2025-04-18T10:36:00Z,89,123
2025-04-19T10:55:00Z,76,76
2025-04-20T09:18:00Z,78,79
2025-04-21T09:13:00Z,69,68
2025-04-22T10:18:30Z,79,79
2025-04-23T08:13:00Z,77,63
2025-04-24T10:05:30Z,79,97
2025-04-25T11:26:30Z,91,134
2025-04-27T08:11:30Z,73,73
2025-04-28T05:27:00Z,79,61
2025-04-29T07:25:30Z,76,69
2025-04-30T05:30:30Z,76,90
2025-05-01T09:12:00Z,76,68
2025-05-02T10:23:00Z,81,103
2025-05-03T09:00:30Z,72,97
2025-05-04T09:28:30Z,79,99
2025-05-05T07:56:00Z,76,16
2025-05-06T06:57:00Z,78,100
2025-05-07T05:56:30Z,76,86
2025-05-08T05:26:30Z,77,69
2025-05-09T08:29:30Z,80,115
2025-05-10T07:34:00Z,75,90
2025-05-11T09:48:30Z,79,115
2025-05-12T05:36:00Z,75,66
2025-05-13T07:08:30Z,75,81
2025-05-17T10:32:00Z,84,84
2025-05-19T05:24:30Z,73,62
2025-05-20T07:58:00Z,81,85
2025-05-21T05:30:30Z,67,53
2025-05-22T05:35:00Z,74,64
2025-05-23T08:22:00Z,80,84
2025-05-25T07:02:30Z,71,63
2025-05-26T05:40:00Z,70,45
2025-05-27T07:10:00Z,82,110
2025-05-28T05:27:00Z,76,81
2025-05-29T05:39:00Z,78,77
2025-05-30T06:32:30Z,77,102
2025-05-31T08:36:00Z,79,69
2025-06-01T09:25:00Z,88,104
2025-06-02T10:05:30Z,88,127
2025-06-03T06:22:30Z,74,88
2025-06-05T05:03:30Z,77,76
2025-06-06T08:16:30Z,83,86
2025-06-07T09:14:00Z,82,70
2025-06-09T05:09:00Z,73,81
2025-06-10T06:43:30Z,79,89
2025-06-11T05:05:00Z,74,69
2025-06-12T05:08:00Z,77,71
2025-06-13T08:22:00Z,84,107
2025-06-14T09:21:30Z,82,105
2025-06-15T09:04:30Z,86,135
2025-06-16T05:17:00Z,73,66
2025-06-17T07:04:30Z,81,80
