timestamp,overall_score,deep_sleep_in_minutes
2025-03-14T06:53:30Z,74,80
2025-03-16T06:48:00Z,67,43
2025-03-17T07:54:00Z,76,66
2025-03-18T08:09:00Z,79,79
2025-03-19T07:22:00Z,81,112
2025-03-21T08:35:30Z,78,72
2025-03-22T08:05:00Z,79,96
2025-03-23T06:07:30Z,64,57
2025-03-25T08:47:30Z,63,73
2025-03-26T06:49:00Z,69,52
2025-03-27T06:14:00Z,65,77
2025-03-28T08:29:00Z,74,92
2025-03-29T08:02:30Z,74,66
2025-03-30T08:38:00Z,74,90
2025-03-31T08:55:00Z,87,118
2025-04-02T06:07:30Z,65,47
2025-04-04T07:48:30Z,73,66
2025-04-05T08:01:30Z,75,65
2025-04-07T20:45:00Z,55,33
2025-04-08T07:54:30Z,73,49
2025-04-09T19:13:00Z,59,30
2025-04-18T09:11:30Z,77,45
2025-04-23T09:20:00Z,81,70
2025-04-24T08:00:30Z,75,90
2025-04-26T08:26:30Z,83,77
2025-04-27T06:02:30Z,71,54
2025-04-28T06:01:30Z,78,76
2025-04-30T20:48:30Z,65,29
2025-05-01T10:14:00Z,81,82
2025-05-15T07:28:30Z,74,66
2025-05-17T10:55:00Z,79,88
2025-05-27T09:06:30Z,69,58
2025-05-27T19:08:00Z,61,40
2025-06-04T06:47:00Z,61,71
2025-06-05T08:16:00Z,83,72
2025-06-17T08:44:00Z,90,109
2025-06-18T08:20:30Z,82,119
2025-06-19T08:33:00Z,75,95
2025-06-23T06:03:30Z,67,49
2025-06-24T06:11:00Z,74,69
2025-06-24T19:38:30Z,60,37
2025-06-27T09:19:00Z,78,110
2025-06-28T07:33:30Z,76,90
