timestamp,overall_score,deep_sleep_in_minutes
2025-03-14T08:39:30Z,73,53
2025-03-15T09:16:00Z,76,60
2025-03-18T05:34:00Z,68,37
2025-03-20T05:06:30Z,60,45
2025-03-22T09:15:00Z,81,120
2025-03-25T07:27:30Z,54,23
2025-03-27T05:24:30Z,59,36
2025-04-01T05:28:00Z,64,51
2025-04-06T07:58:30Z,76,97
2025-04-08T05:27:30Z,66,57
2025-05-09T07:54:30Z,83,95
2025-05-13T05:29:00Z,62,41
2025-05-15T09:43:30Z,82,108
2025-05-17T09:51:30Z,81,78
2025-05-18T09:21:30Z,79,95
2025-05-22T05:19:30Z,65,58
2025-05-23T08:18:00Z,76,99
2025-05-25T10:34:00Z,65,81
2025-06-03T05:28:30Z,65,18
2025-06-07T08:03:00Z,80,74
2025-06-09T10:31:30Z,80,80
2025-06-10T05:32:00Z,62,59
2025-06-13T08:30:30Z,79,86
2025-06-18T06:49:00Z,65,50
2025-06-19T05:54:00Z,74,57
2025-06-21T09:11:00Z,80,109
2025-06-28T09:59:00Z,80,93
