DATE,UPDATED_AT,STRESS_SCORE,CALCULATION_FAILED
2025-02-21T00:00:00,2025-02-21T11:56:10.343,0,true
2025-02-22T00:00:00,2025-02-22T13:15:17.993,74,false
2025-02-23T00:00:00,2025-02-23T15:37:17.098,80,false
2025-02-24T00:00:00,2025-02-24T11:55:23.54,80,false
2025-02-25T00:00:00,2025-02-25T12:16:42.551,89,false
2025-02-26T00:00:00,2025-02-26T12:19:14.171,83,false
2025-03-08T00:00:00,2025-03-08T15:16:01.014,77,false
2025-03-09T00:00:00,2025-03-09T15:14:11.052,80,false
2025-03-10T00:00:00,2025-03-10T12:09:41.467,79,false
2025-03-11T00:00:00,2025-03-11T12:09:17.478,87,false
2025-03-13T00:00:00,2025-03-13T12:09:55.869,89,false
2025-03-14T00:00:00,2025-03-14T14:17:36.427,84,false
2025-03-15T00:00:00,2025-03-15T15:52:07.007,81,false
2025-03-16T00:00:00,2025-03-16T15:44:40.405,93,false
2025-03-17T00:00:00,2025-03-17T14:56:46.361,82,false
2025-03-18T00:00:00,2025-03-18T12:08:49.72,79,false
2025-03-19T00:00:00,2025-03-19T12:15:03.642,79,false
2025-03-21T00:00:00,2025-03-21T12:09:32.546,82,false
2025-03-22T00:00:00,2025-03-22T15:33:40.824,83,false
2025-03-23T00:00:00,2025-03-23T15:56:08.928,78,false
2025-03-24T00:00:00,2025-03-24T12:06:11.07,77,false
2025-03-25T00:00:00,2025-03-25T12:45:34.387,0,false
2025-03-26T00:00:00,2025-03-27T05:38:29.199,76,false
2025-03-27T00:00:00,2025-03-27T12:11:52.631,80,false
2025-03-28T00:00:00,2025-03-28T11:52:10.114,75,false
2025-03-30T00:00:00,2025-03-30T15:46:21.626,0,true
2025-03-31T00:00:00,2025-03-31T14:27:45.483,78,false
2025-04-01T00:00:00,2025-04-01T12:20:14.055,81,false
2025-04-02T00:00:00,2025-04-02T12:16:41.128,73,false
2025-04-03T00:00:00,2025-04-03T12:15:26.647,78,false
2025-04-04T00:00:00,2025-04-05T01:45:39.746,72,false
2025-04-05T00:00:00,2025-04-05T13:36:43.956,81,false
2025-04-06T00:00:00,2025-04-06T13:20:16.231,77,false
2025-04-07T00:00:00,2025-04-07T15:03:47.75,77,false
2025-04-08T00:00:00,2025-04-08T12:30:05.251,82,false
2025-04-09T00:00:00,2025-04-09T12:14:01.397,77,false
2025-04-10T00:00:00,2025-04-10T12:29:13.298,64,false
2025-04-11T00:00:00,2025-04-11T12:23:30.782,69,false
2025-04-12T00:00:00,2025-04-12T14:17:21.783,68,false
2025-04-13T00:00:00,2025-04-13T14:14:42.767,76,false
2025-04-14T00:00:00,2025-04-14T14:38:48.52,67,false
2025-04-15T00:00:00,2025-04-15T14:50:58.228,78,false
2025-04-16T00:00:00,2025-04-16T14:33:08.415,75,false
2025-04-17T00:00:00,2025-04-17T15:02:28.935,75,false
2025-04-18T00:00:00,2025-04-18T14:15:15.399,69,false
2025-04-19T00:00:00,2025-04-19T15:25:57.254,70,false
2025-04-20T00:00:00,2025-04-20T20:54:49.067,74,false
2025-04-21T00:00:00,2025-04-21T14:33:27.515,73,false
2025-04-22T00:00:00,2025-04-22T12:04:02.974,70,false
2025-04-24T00:00:00,2025-04-24T15:47:12.963,0,true
2025-04-25T00:00:00,2025-04-25T19:36:53.072,62,false
2025-04-26T00:00:00,2025-04-26T13:48:25.46,76,false
2025-04-27T00:00:00,2025-04-27T13:46:21.283,84,false
2025-04-28T00:00:00,2025-04-29T03:29:14.724,73,false
2025-04-29T00:00:00,2025-04-29T13:49:21.749,78,false
2025-04-30T00:00:00,2025-04-30T11:25:24.307,73,false
2025-05-01T00:00:00,2025-05-01T15:21:48.648,75,false
2025-05-02T00:00:00,2025-05-02T13:57:51.408,64,false
2025-05-04T00:00:00,2025-05-04T13:43:24.327,0,true
2025-05-05T00:00:00,2025-05-05T14:51:54.562,67,false
2025-05-06T00:00:00,2025-05-06T14:50:17.343,70,false
2025-05-07T00:00:00,2025-05-07T15:22:08.015,72,false
2025-05-08T00:00:00,2025-05-08T16:25:38.797,75,false
2025-05-09T00:00:00,2025-05-09T15:20:53.891,79,false
2025-05-11T00:00:00,2025-05-11T14:48:10.855,79,false
2025-05-13T00:00:00,2025-05-13T12:12:46.24,80,false
2025-05-14T00:00:00,2025-05-14T12:31:20.92,81,false
2025-05-15T00:00:00,2025-05-15T12:22:31.92,83,false
2025-05-16T00:00:00,2025-05-16T12:08:00.062,83,false
2025-05-17T00:00:00,2025-05-17T13:23:10.448,86,false
2025-05-18T00:00:00,2025-05-18T22:33:59.261,0,true
2025-05-19T00:00:00,2025-05-19T12:20:27.836,79,false
2025-05-21T00:00:00,2025-05-22T05:42:00.725,68,false
2025-05-22T00:00:00,2025-05-22T12:15:15.589,80,false
2025-05-29T00:00:00,2025-05-29T13:02:22.163,74,false
2025-05-30T00:00:00,2025-05-30T12:21:42.325,77,false
2025-05-31T00:00:00,2025-05-31T14:14:54.322,73,false
2025-06-01T00:00:00,2025-06-01T13:12:59.429,75,false
2025-06-02T00:00:00,2025-06-02T12:08:56.502,70,false
2025-06-03T00:00:00,2025-06-04T01:18:25.739,80,false
2025-06-04T00:00:00,2025-06-04T12:09:07.67,75,false
2025-06-05T00:00:00,2025-06-05T13:57:18.624,77,false
2025-06-06T00:00:00,2025-06-06T12:19:11.401,77,false
2025-06-07T00:00:00,2025-06-07T13:24:22.83,82,false
