timestamp,rmssd,coverage,low_frequency,high_frequency
2025-02-18T02:05:00,58.344,0.726,2134.819,1038.465
2025-02-18T02:10:00,45.22,0.945,438.949,913.373
2025-02-18T02:15:00,39.6,0.701,768.938,134.3
2025-02-18T02:20:00,35.171,0.993,452.157,585.99
2025-02-18T02:25:00,34.304,0.96,684.603,567.207
2025-02-18T02:30:00,31.225,1.004,514.102,346.859
2025-02-18T02:35:00,53.616,0.823,2484.556,721.048
2025-02-18T02:40:00,41.629,1.003,290.598,761.74
2025-02-18T02:45:00,39.045,1.001,354.785,816.688
2025-02-18T02:50:00,37.406,1.001,356.56,532.584
2025-02-18T02:55:00,37.314,1.001,302.929,589.86
2025-02-18T03:00:00,44.48,1.003,467.277,938.255
2025-02-18T03:05:00,41.888,1.002,360.499,681.344
2025-02-18T03:10:00,44.429,1.002,469.595,809.502
2025-02-18T03:15:00,43.799,1.002,325.375,599.058
2025-02-18T03:20:00,44.724,1.003,343.106,702.015
2025-02-18T03:25:00,61.022,0.873,1156.816,1153.943
2025-02-18T03:30:00,53.245,0.811,1301.462,759.964
2025-02-18T03:35:00,42.115,0.918,1028.658,639.846
2025-02-18T03:40:00,69.717,0.71,3754.977,1549.682
2025-02-18T03:45:00,64.827,0.975,1170.599,1848.338
2025-02-18T03:50:00,53.14,0.922,807.815,757.154
2025-02-18T03:55:00,67.946,1.006,1904.966,1267.913
2025-02-18T04:00:00,52.788,1,1159.913,781.862
2025-02-18T04:05:00,59.011,1.007,840.416,1243.388
2025-02-18T04:10:00,58.887,1.003,1634.105,972.128
2025-02-18T04:15:00,75.843,0.92,1649.347,1945.613
2025-02-18T04:20:00,52.485,0.994,406.3,1127.153
2025-02-18T04:25:00,46.235,0.997,398.179,729.609
2025-02-18T04:30:00,45.05,0.934,793.523,546.638
2025-02-18T04:35:00,90.474,0.917,2161.097,3372.35
2025-02-18T04:40:00,95.985,0.711,2858.947,2226.631
2025-02-18T04:55:00,82.848,0.799,2417.522,1412.612
2025-02-18T05:15:00,86.569,0.725,2632.242,1077.882
2025-02-18T05:20:00,102.993,0.796,2295.807,2484.329
2025-02-18T05:25:00,99.811,1.001,2933.466,3020.568
2025-02-18T05:30:00,93.122,0.898,1919.309,3603.136
2025-02-18T05:35:00,83.203,1.003,1068.419,2785.334
2025-02-18T05:40:00,79.874,0.999,584.409,2108.441
2025-02-18T05:45:00,81.315,1.003,1358.608,2068.011
2025-02-18T05:50:00,73.967,0.998,1163.242,2644.448
2025-02-18T05:55:00,62.862,1.004,737.9,1395.422
2025-02-18T06:00:00,60.834,1.001,368.754,1190.538
2025-02-18T06:05:00,68.084,0.995,1128.926,1647.315
2025-02-18T06:10:00,56.72,1.004,564.508,1033.375
2025-02-18T06:15:00,54.107,0.989,746.308,1272.478
2025-02-18T06:20:00,55.729,1.002,326.253,1026.204
2025-02-18T06:25:00,63.243,0.996,848.694,1272.048
2025-02-18T06:30:00,74.563,0.887,1240.197,1554.355
2025-02-18T06:35:00,101.78,0.935,6576.808,2408.069
2025-02-18T06:40:00,77.893,0.748,2441.809,1497.161
2025-02-18T06:45:00,89.524,0.84,10981.644,2175.046
2025-02-18T06:55:00,102.839,0.779,4720.246,3221.803
2025-02-18T07:00:00,98.065,0.798,2979.453,1552.276
2025-02-18T07:10:00,118.129,0.7,8041.782,2666.01
