timestamp,overall_score,deep_sleep_in_minutes
2025-02-18T08:41:30Z,52,101
2025-02-19T08:40:00Z,64,95
2025-02-20T05:51:30Z,40,53
2025-02-21T09:47:00Z,63,97
2025-02-22T11:38:30Z,72,120
2025-02-23T10:27:30Z,59,96
2025-02-24T10:10:30Z,78,137
2025-02-25T10:04:30Z,61,77
2025-02-27T07:55:30Z,45,62
2025-03-02T11:18:30Z,66,109
2025-03-03T10:18:30Z,68,96
2025-03-04T10:29:30Z,79,100
2025-03-06T06:06:00Z,56,55
2025-03-06T10:55:30Z,67,42
2025-03-07T07:57:30Z,57,79
2025-03-08T10:11:30Z,71,101
2025-03-12T08:47:30Z,60,95
2025-03-21T05:43:30Z,51,13
2025-04-02T10:03:00Z,62,92
2025-04-05T10:10:00Z,63,107
2025-04-06T12:09:00Z,73,114
2025-04-07T10:59:00Z,73,96
2025-04-09T10:41:30Z,72,75
2025-04-10T11:20:30Z,51,105
2025-04-11T10:35:00Z,63,88
2025-04-12T07:26:30Z,50,78
2025-04-13T06:36:00Z,56,37
2025-04-15T11:59:30Z,66,115
2025-04-17T09:50:30Z,70,107
2025-04-18T07:38:00Z,56,78
2025-04-20T10:13:00Z,61,103
2025-04-21T07:34:30Z,57,112
2025-04-23T10:54:00Z,64,83
2025-04-26T05:55:00Z,61,45
2025-04-27T13:29:30Z,70,87
2025-04-28T10:21:00Z,54,35
2025-04-29T06:56:00Z,49,51
2025-04-30T06:24:30Z,44,71
2025-05-01T08:09:00Z,53,71
2025-05-02T11:29:30Z,76,110
2025-05-03T11:40:00Z,73,77
2025-05-04T11:19:30Z,64,124
2025-05-05T06:11:00Z,62,90
2025-05-06T06:35:30Z,62,70
2025-05-07T11:52:30Z,71,104
2025-05-08T10:15:30Z,62,102
2025-05-09T07:28:30Z,72,113
2025-05-10T10:03:30Z,71,91
2025-05-11T07:04:00Z,46,94
2025-05-12T07:59:28.463Z,67,77
2025-05-13T03:51:30Z,51,46
2025-05-14T09:16:00Z,64,91
2025-05-16T09:43:30Z,59,90
2025-05-20T09:03:30Z,70,133
2025-05-21T11:17:30Z,82,130
2025-05-24T07:25:00Z,58,62
2025-05-25T10:33:30Z,70,101
2025-05-26T08:32:00Z,56,92
2025-05-28T10:58:05.456Z,79,124
2025-05-29T09:39:30Z,60,108
2025-05-30T10:17:00Z,78,119
2025-05-31T09:02:30Z,60,93
2025-06-01T10:58:30Z,82,136
2025-06-02T09:50:30Z,63,81
2025-06-03T09:51:00Z,70,85
2025-06-04T08:32:30Z,60,74
2025-06-05T07:49:30Z,59,88
2025-06-06T10:21:30Z,73,102
2025-06-07T11:04:00Z,77,104
