timestamp,level
2025-04-07T22:11:00Z,SEDENTARY
2025-04-07T22:12:00Z,LIGHTLY_ACTIVE
2025-04-07T22:13:00Z,VERY_ACTIVE
2025-04-07T22:14:00Z,MODERATELY_ACTIVE
2025-04-07T22:15:00Z,LIGHTLY_ACTIVE
2025-04-07T22:20:00Z,SEDENTARY
2025-04-07T22:29:00Z,SEDENTARY
2025-04-07T22:30:00Z,SEDENTARY
2025-04-07T22:56:00Z,SEDENTARY
2025-04-07T22:59:00Z,SEDENTARY
2025-04-07T23:12:00Z,LIGHTLY_ACTIVE
2025-04-07T23:13:00Z,LIGHTLY_ACTIVE
2025-04-07T23:14:00Z,MODERATELY_ACTIVE
2025-04-07T23:15:00Z,VERY_ACTIVE
2025-04-07T23:16:00Z,MODERATELY_ACTIVE
2025-04-07T23:17:00Z,LIGHTLY_ACTIVE
2025-04-07T23:18:00Z,MODERATELY_ACTIVE
2025-04-07T23:19:00Z,LIGHTLY_ACTIVE
2025-04-07T23:20:00Z,MODERATELY_ACTIVE
2025-04-07T23:21:00Z,LIGHTLY_ACTIVE
2025-04-07T23:22:00Z,LIGHTLY_ACTIVE
2025-04-07T23:23:00Z,LIGHTLY_ACTIVE
2025-04-07T23:24:00Z,LIGHTLY_ACTIVE
2025-04-07T23:25:00Z,SEDENTARY
2025-04-07T23:26:00Z,LIGHTLY_ACTIVE
2025-04-07T23:27:00Z,LIGHTLY_ACTIVE
2025-04-07T23:28:00Z,LIGHTLY_ACTIVE
2025-04-07T23:29:00Z,LIGHTLY_ACTIVE
2025-04-07T23:30:00Z,LIGHTLY_ACTIVE
2025-04-07T23:31:00Z,SEDENTARY
2025-04-07T23:32:00Z,LIGHTLY_ACTIVE
2025-04-07T23:33:00Z,LIGHTLY_ACTIVE
2025-04-07T23:34:00Z,LIGHTLY_ACTIVE
2025-04-07T23:35:00Z,LIGHTLY_ACTIVE
2025-04-07T23:36:00Z,LIGHTLY_ACTIVE
2025-04-07T23:37:00Z,LIGHTLY_ACTIVE
2025-04-07T23:38:00Z,LIGHTLY_ACTIVE
2025-04-07T23:39:00Z,LIGHTLY_ACTIVE
2025-04-07T23:40:00Z,LIGHTLY_ACTIVE
2025-04-07T23:41:00Z,LIGHTLY_ACTIVE
2025-04-07T23:42:00Z,SEDENTARY
2025-04-07T23:43:00Z,LIGHTLY_ACTIVE
2025-04-07T23:44:00Z,SEDENTARY
2025-04-07T23:45:00Z,SEDENTARY
2025-04-07T23:46:00Z,SEDENTARY
2025-04-07T23:48:00Z,SEDENTARY
2025-04-07T23:49:00Z,LIGHTLY_ACTIVE
2025-04-07T23:50:00Z,LIGHTLY_ACTIVE
2025-04-07T23:51:00Z,SEDENTARY
2025-04-07T23:52:00Z,SEDENTARY
2025-04-07T23:53:00Z,SEDENTARY
2025-04-07T23:54:00Z,LIGHTLY_ACTIVE
2025-04-07T23:55:00Z,SEDENTARY
2025-04-07T23:56:00Z,LIGHTLY_ACTIVE
2025-04-07T23:57:00Z,LIGHTLY_ACTIVE
2025-04-07T23:58:00Z,SEDENTARY
2025-04-07T23:59:00Z,SEDENTARY
2025-04-08T00:00:00Z,LIGHTLY_ACTIVE
2025-04-08T00:01:00Z,LIGHTLY_ACTIVE
2025-04-08T00:02:00Z,LIGHTLY_ACTIVE
2025-04-08T00:03:00Z,SEDENTARY
2025-04-08T00:04:00Z,LIGHTLY_ACTIVE
2025-04-08T00:05:00Z,SEDENTARY
2025-04-08T00:06:00Z,SEDENTARY
2025-04-08T00:07:00Z,LIGHTLY_ACTIVE
2025-04-08T00:08:00Z,SEDENTARY
2025-04-08T00:09:00Z,SEDENTARY
2025-04-08T00:10:00Z,LIGHTLY_ACTIVE
2025-04-08T00:11:00Z,SEDENTARY
2025-04-08T00:12:00Z,SEDENTARY
2025-04-08T00:13:00Z,SEDENTARY
2025-04-08T00:14:00Z,SEDENTARY
2025-04-08T00:15:00Z,SEDENTARY
2025-04-08T00:16:00Z,LIGHTLY_ACTIVE
2025-04-08T00:17:00Z,LIGHTLY_ACTIVE
2025-04-08T00:18:00Z,LIGHTLY_ACTIVE
2025-04-08T00:19:00Z,SEDENTARY
2025-04-08T00:20:00Z,SEDENTARY
2025-04-08T00:21:00Z,SEDENTARY
2025-04-08T00:22:00Z,LIGHTLY_ACTIVE
2025-04-08T00:23:00Z,LIGHTLY_ACTIVE
2025-04-08T00:24:00Z,LIGHTLY_ACTIVE
2025-04-08T00:25:00Z,LIGHTLY_ACTIVE
2025-04-08T00:26:00Z,SEDENTARY
2025-04-08T00:27:00Z,SEDENTARY
2025-04-08T00:28:00Z,LIGHTLY_ACTIVE
2025-04-08T00:29:00Z,SEDENTARY
2025-04-08T00:30:00Z,LIGHTLY_ACTIVE
2025-04-08T00:31:00Z,LIGHTLY_ACTIVE
2025-04-08T00:32:00Z,LIGHTLY_ACTIVE
2025-04-08T00:33:00Z,SEDENTARY
2025-04-08T00:34:00Z,SEDENTARY
2025-04-08T00:36:00Z,SEDENTARY
2025-04-08T00:37:00Z,LIGHTLY_ACTIVE
2025-04-08T00:38:00Z,LIGHTLY_ACTIVE
2025-04-08T00:39:00Z,SEDENTARY
2025-04-08T00:40:00Z,SEDENTARY
2025-04-08T00:41:00Z,SEDENTARY
2025-04-08T00:42:00Z,SEDENTARY
2025-04-08T00:43:00Z,SEDENTARY
2025-04-08T00:44:00Z,SEDENTARY
2025-04-08T00:45:00Z,SEDENTARY
2025-04-08T00:46:00Z,SEDENTARY
2025-04-08T00:47:00Z,SEDENTARY
2025-04-08T00:48:00Z,SEDENTARY
2025-04-08T00:49:00Z,SEDENTARY
2025-04-08T00:50:00Z,SEDENTARY
2025-04-08T00:51:00Z,LIGHTLY_ACTIVE
2025-04-08T00:52:00Z,SEDENTARY
2025-04-08T00:53:00Z,SEDENTARY
2025-04-08T00:54:00Z,LIGHTLY_ACTIVE
2025-04-08T00:55:00Z,SEDENTARY
2025-04-08T00:56:00Z,SEDENTARY
2025-04-08T00:57:00Z,SEDENTARY
2025-04-08T00:58:00Z,SEDENTARY
2025-04-08T01:00:00Z,SEDENTARY
2025-04-08T01:01:00Z,LIGHTLY_ACTIVE
2025-04-08T01:02:00Z,SEDENTARY
2025-04-08T01:03:00Z,SEDENTARY
2025-04-08T01:04:00Z,LIGHTLY_ACTIVE
2025-04-08T01:05:00Z,SEDENTARY
2025-04-08T01:06:00Z,SEDENTARY
2025-04-08T01:07:00Z,SEDENTARY
2025-04-08T01:08:00Z,SEDENTARY
2025-04-08T01:09:00Z,SEDENTARY
2025-04-08T01:10:00Z,SEDENTARY
2025-04-08T01:11:00Z,SEDENTARY
2025-04-08T01:12:00Z,SEDENTARY
2025-04-08T01:13:00Z,SEDENTARY
2025-04-08T01:14:00Z,LIGHTLY_ACTIVE
2025-04-08T01:15:00Z,SEDENTARY
2025-04-08T01:16:00Z,SEDENTARY
2025-04-08T01:17:00Z,SEDENTARY
2025-04-08T01:18:00Z,SEDENTARY
2025-04-08T01:19:00Z,SEDENTARY
2025-04-08T01:22:00Z,LIGHTLY_ACTIVE
2025-04-08T01:23:00Z,LIGHTLY_ACTIVE
2025-04-08T01:24:00Z,SEDENTARY
