timestamp,overall_score,deep_sleep_in_minutes
2025-04-08T09:42:00Z,81,71
2025-04-09T12:48:30Z,82,99
2025-04-10T08:07:30Z,76,36
2025-04-11T13:21:00Z,80,58
2025-04-12T13:31:00Z,87,114
2025-04-13T13:16:00Z,77,39
2025-04-14T07:57:30Z,60,30
2025-04-15T12:56:30Z,80,83
2025-04-16T12:27:30Z,81,58
2025-04-17T13:40:00Z,82,97
2025-04-18T12:19:30Z,79,45
2025-04-19T09:16:00Z,65,43
2025-04-19T14:14:30Z,59,23
2025-04-21T10:17:30Z,89,78
2025-04-22T08:37:00Z,67,69
2025-04-23T11:34:30Z,82,87
2025-04-24T11:35:30Z,82,70
2025-04-25T13:00:30Z,87,79
2025-04-26T08:05:30Z,60,46
2025-04-27T14:31:30Z,85,102
2025-04-28T07:21:30Z,50,8
2025-04-29T13:23:30Z,85,125
2025-04-30T13:08:00Z,84,55
2025-05-01T14:26:00Z,84,45
2025-05-02T13:47:00Z,74,40
2025-05-04T13:51:00Z,88,116
2025-05-05T11:01:00Z,79,48
2025-05-06T09:43:00Z,75,56
2025-05-07T13:52:00Z,84,87
2025-05-08T07:38:30Z,67,43
2025-05-09T13:58:00Z,83,81
2025-05-10T12:51:00Z,86,63
2025-05-11T13:28:30Z,80,52
2025-05-12T13:40:30Z,87,69
2025-05-13T10:32:30Z,69,53
